size,average
100,12235
100,12391
100,12432
100,12474
100,12494
100,14195
100,14274
100,14321
100,14346
100,14556
100,15165
100,3726
100,4371
100,4613
100,5214
100,5465
100,5633
100,5643
100,5831
100,6340
100,6412
100,7017
100,7043
100,7621
100,7709
100,8003
100,8257
1000,45609
1000,45663
1000,45689
1000,45729
1000,45750
1000,45772
1000,46159
1000,46187
1000,46248
1000,46335
1000,46342
1000,46353
1000,46363
1000,46364
1000,46560
1000,46563
1000,46572
1000,46582
1000,46875
1000,46892
1000,47437
1000,47568
1000,47575
1000,47607
1000,47669
1000,47712
1000,47766
10000,494628
10000,496192
10000,497021
10000,497058
10000,497178
10000,497229
10000,497613
10000,498873
10000,502139
10000,503150
10000,504122
10000,508599
10000,509019
10000,510332
10000,511331
10000,511735
10000,511963
10000,514817
10000,514964
10000,515365
10000,516488
10000,516551
10000,516572
10000,517085
10000,517660
10000,520678
10000,522048
100000,6758136
100000,6769752
100000,6770832
100000,6893862
100000,6895174
100000,6898801
100000,6901180
100000,6901304
100000,6901376
100000,6904323
100000,6904864
100000,6906842
100000,6909831
100000,7018149
100000,7020930
100000,7035384
100000,7039385
100000,7039816
100000,7046527
100000,7051873
100000,7325620
100000,7331478
100000,7332834
100000,7334333
100000,7335091
100000,7335745
100000,7337748
1000000,209044138
1000000,209218784
1000000,209320550
1000000,209579378
1000000,209689617
1000000,209778263
1000000,209961276
1000000,209962074
1000000,210042271
1000000,210123639
1000000,210270596
1000000,210292585
1000000,210763175
1000000,228103666
1000000,228234614
1000000,228262019
1000000,228270327
1000000,228283311
1000000,228299164
1000000,228393565
1000000,237586527
1000000,237723531
1000000,237916902
1000000,237945028
1000000,237977257
1000000,238788028
1000000,239220089
